,Datum,Inskrivningsdata,Optimala värden,Övre konfidens,Undre konfidens,Övre prediktion,Undre prediktion
0,2020-03-01,1,42.034082319417514,46.63902688319245,37.42913775564258,118.1742441439192,-34.10607950508416
1,2020-03-02,1,44.192108413998014,48.95354774736763,39.4306690806284,120.34189523412785,-31.95767840613182
2,2020-03-03,1,46.457382212792055,51.3788627453086,41.53590168027551,122.61734347103982,-29.702579045455707
3,2020-03-04,1,48.83486175136158,53.91986874000941,43.749854762713746,125.00556494032037,-27.335841437597217
4,2020-03-05,4,51.32969536114044,56.58163826111134,46.07775246116954,127.51172495113242,-24.852334228851547
5,2020-03-06,5,53.94722481816948,59.36942162351434,48.52502801282462,130.14118091982988,-22.246731283490924
6,2020-03-07,6,56.69298804511196,62.28864858088261,51.09732750934131,132.8994847829718,-19.513508692747877
7,2020-03-08,6,59.57272129671366,65.34492945088931,53.80051314253801,135.7923848698428,-16.646942276415494
8,2020-03-09,7,62.592360753011114,68.54405564443564,56.640665861586584,138.82582715921927,-13.641105653197052
9,2020-03-10,8,65.75804343855292,71.89199952641866,59.624087350687184,142.00595583957363,-10.489868962467781
10,2020-03-11,9,69.0761073797212,75.39491353095363,62.75730122848876,145.33911308630684,-7.186898326864437
11,2020-03-12,12,72.5530909059827,79.05912844934085,66.04705336262455,148.83183796400306,-3.7256561520376437
12,2020-03-13,16,76.19573099462417,82.89115080456672,69.50031118468162,152.49086435617767,-0.09940236692931137
13,2020-03-14,17,80.01096055231834,86.89765922182707,73.1242618828096,156.32311781962716,3.698803285009518
14,2020-03-15,18,84.0059045208162,91.08549970053957,76.92630934109283,160.3357112553719,7.676097786260513
15,2020-03-16,24,88.18787468828384,95.46167968968165,80.91406968688604,164.53593928342744,11.839810093140244
16,2020-03-17,28,92.56436308241999,100.03336086515472,85.09536529968526,168.9312712043569,16.197454960483057
17,2020-03-18,33,97.14303381665829,104.80785050537351,89.47821712794307,173.5293424268894,20.756725206427177
18,2020-03-19,43,101.93171325663246,109.79259135953848,94.07083515372645,178.33794423797724,25.525482275287686
19,2020-03-20,47,106.93837837085954,114.99514990223635,98.88160683948273,183.36501178967933,30.511744952039734
20,2020-03-21,49,112.17114312747084,120.42320286828095,103.91908338666073,188.618610176365,35.72367607857667
21,2020-03-22,50,117.63824279803003,126.08452196324234,109.19196363281773,194.10691847613083,41.169567119929255
22,2020-03-23,55,123.34801603025794,131.9869566480921,114.70907541242376,199.8382116322063,46.85782042830955
23,2020-03-24,64,129.30888455410283,138.13841490101453,120.47935420719114,205.82084005370365,52.796929054502016
24,2020-03-25,72,135.52933039033303,144.54684186589168,126.51181891477437,212.06320682056287,58.99545396010318
25,2020-03-26,78,142.01787043796924,151.22019630545518,132.8155445704833,218.57374238517693,65.46199849076154
26,2020-03-27,87,148.78302832672526,158.1664247878003,139.3996318656502,225.36087667317318,72.20517998027734
27,2020-03-28,94,155.83330343347984,165.3934335480481,146.27317331891157,232.43300849840378,79.2335983685559
28,2020-03-29,101,163.1771369779627,172.9090579825713,153.4452159733541,239.79847222256547,86.55580173335996
29,2020-03-30,111,170.8228751325816,180.7210297514862,160.924720513677,247.46550160822898,94.18024865693422
30,2020-03-31,120,178.77872910491132,188.83694148613347,168.72051672368917,255.44219083559258,102.11526737423006
31,2020-04-01,135,187.05273217902868,197.26420912203727,176.8412552360201,263.7364526781246,110.36901167993281
32,2020-04-02,144,195.65269373379786,206.01003190429577,185.29535556329995,272.3559738605559,118.94941360703983
33,2020-04-03,151,204.58615029249776,215.0813501413643,194.09095044363121,281.3081676544879,127.86413293050767
34,2020-04-04,161,213.86031369888383,224.48480081449256,203.2358265832751,290.60012380221673,137.12050359555093
35,2020-04-05,176,223.48201655984047,234.2266711832868,212.73736193639414,300.2385558982122,146.72547722146874
36,2020-04-06,190,233.45765514404135,244.31285056244363,222.60245972563908,310.22974639989786,156.68556388818484
37,2020-04-07,211,243.79312997921343,254.74878047994207,232.8374794784848,320.57948948479213,167.00677047363473
38,2020-04-08,228,254.4937844472671,265.5394034619841,243.44816543255016,331.29303201938944,177.69453687514476
39,2020-04-09,253,265.5643417361205,276.6891107236276,254.43957274861347,342.3750129560185,188.75367051622257
40,2020-04-10,268,277.00884056877345,288.2016890750611,265.8159920624858,353.82940152683057,200.18827961071634
41,2020-04-11,284,288.83057019313554,300.08026738029116,277.5808730059799,365.6594346584428,212.00170572782827
42,2020-04-12,299,301.03200517919237,312.32726292598454,289.7367474324002,377.86755408588226,224.1964562725025
43,2020-04-13,309,313.6147406320123,324.94432807153083,302.28515319249374,390.45534369950235,236.77413756452225
44,2020-04-14,324,326.57942848841884,337.93229755532366,315.226559421514,403.4234677125262,249.73538926431152
45,2020-04-15,340,339.92571562026524,351.29113682521813,328.56029441531234,416.77161028869796,263.0798209518325
46,2020-04-16,360,353.65218451644364,365.01989174207415,342.28447729081313,430.4984173180164,276.8059517148709
47,2020-04-17,383,367.75629735721026,379.1166399740049,356.3959547404156,444.60144107232617,290.91115364209435
48,2020-04-18,397,382.23434432626027,393.57844435662423,370.8902442958963,459.0770885102414,305.3916001422791
49,2020-04-19,413,397.0813970263782,408.4013084443712,385.76148560838527,473.9205740309315,320.24222002182495
50,2020-04-20,447,412.29126787164046,423.5801344257375,401.0024013175434,489.1258774971346,335.45665824614633
51,2020-04-21,465,427.85647632139364,439.10868353005776,416.6042691127295,504.68570835772584,351.02724428506144
52,2020-04-22,483,443.7682227971379,454.9795390282748,432.55690656600103,520.5914766976362,366.9449688966397
