,Datum,Inskrivningsdata,Optimala värden,Övre konfidens,Undre konfidens,Övre prediktion,Undre prediktion
0,2020-03-01,1,12.871253202632994,17.700480144266653,8.042026260999336,49.645748200000774,-23.90324179473479
1,2020-03-02,1,13.776696828983065,18.86795550995325,8.685438148012878,50.58651840440206,-23.03312474643593
2,2020-03-03,1,14.74522513825959,20.111143854167857,9.379306422351323,51.5940396798885,-22.10358940336932
3,2020-03-04,1,15.781144738085288,21.434797753563906,10.12749172260667,52.67295740535685,-21.11066792918627
4,2020-03-05,4,16.88904335942253,22.84394801036309,10.93413870848197,53.82822227367861,-20.050135554833552
5,2020-03-06,5,18.073806331138286,24.343917291556245,11.803695370720325,55.06510721274532,-18.917494550468746
6,2020-03-07,6,19.34063374124451,25.94033407146888,12.74093341102014,56.389224725334465,-17.707957242845445
7,2020-03-08,6,20.695058268915417,27.639146826826902,13.75096971100393,57.806544568412306,-16.41642803058147
8,2020-03-09,7,22.14296366211932,29.44663842253352,14.839288901705121,59.323411675336416,-15.037484351097774
9,2020-03-10,8,23.6906038248743,31.369440614090486,16.011767035658117,60.946564205638175,-13.565356555889572
10,2020-03-11,9,25.344622465560875,33.41454857886665,17.2746963522551,62.6831515867226,-11.993906655600853
11,2020-03-12,12,27.11207324320074,35.58933537313015,18.634811113271333,64.54075239004165,-10.316605903640166
12,2020-03-13,16,29.00044033193325,37.90156619483032,20.09931446903618,66.5273918612643,-8.526511197397806
13,2020-03-14,17,31.017659304870502,40.35941231345636,21.675906296284644,68.65155889993042,-6.616240290189413
14,2020-03-15,18,33.172138216864724,42.971464507847244,23.372811925882203,70.92222225935089,-4.577945825621448
15,2020-03-16,24,35.47277874125275,45.746745830539766,25.198811651965745,73.34884571248645,-2.4032882299809515
16,2020-03-17,28,37.92899718812791,48.69472349310097,27.163270883154844,75.94140190463088,-0.08340752837505505
17,2020-03-18,33,40.5507452009167,51.8253196409227,29.276170760910702,78.7103845894233,2.3911058124101032
18,2020-03-19,43,43.34852989381391,55.148920758228435,31.548139029399387,81.66681892151692,5.030240866110894
19,2020-03-20,47,46.33343315478842,58.676385414683466,33.99048089489338,84.8222694576396,7.844596851937233
20,2020-03-21,49,49.517129797295894,62.41905003420827,36.61520956038352,88.188845498274,10.845414096317782
21,2020-03-22,50,52.9119041984585,66.38873233465218,39.43507606226483,91.7792033851801,14.044605011736905
22,2020-03-23,55,57.42540360888796,71.67918145397418,43.17162576380175,96.56888623773307,18.281920980042855
23,2020-03-24,64,62.26712119804805,77.31877868706056,47.21546370903555,101.70814606587032,22.826096330225788
24,2020-03-25,72,67.45458901168261,83.32288637636636,51.58629164699887,107.21442943781683,27.694748585548396
25,2020-03-26,78,73.00555314185951,89.7067133369531,56.30439294676591,113.10506437728239,32.90604190643662
26,2020-03-27,87,78.93788155839492,96.48520610838322,61.39055700840662,119.39712831757532,38.47863479921452
27,2020-03-28,94,85.26946028316566,103.67293170380191,66.8659888625294,126.10730804462099,44.43161252171031
28,2020-03-29,101,92.01807775975963,111.28395242270282,72.75220309681644,133.25175302629225,50.784402493227006
29,2020-03-30,111,100.83462282431869,121.22344952504525,80.44579612359212,142.6047832703822,59.06446237825518
30,2020-03-31,120,110.2743387803599,131.78478961315443,88.76388794756537,152.603306928517,67.9453706322028
31,2020-04-01,135,120.35348723883594,142.97539654860503,97.73157792906684,163.25794889816743,77.44902557950445
32,2020-04-02,144,131.08528018865803,154.79901410911458,107.37154626820148,174.57531612688,87.59524425043605
33,2020-04-03,151,142.47948835540484,167.2554163278541,117.70356038295559,186.55769903090322,98.40127767990644
34,2020-04-04,161,154.54207159721994,180.34016165005963,128.74398154438026,199.20283177695774,109.88131141748214
35,2020-04-05,176,167.27484171961692,194.04439979366475,140.50528364556908,212.5037184350235,122.04596500421033
36,2020-04-06,190,188.1153897040637,216.5475951665535,159.68318424157388,234.34776317675988,141.8830162313675
37,2020-04-07,211,210.3825840819524,240.3428904807003,180.42227768320447,257.57010371336,163.19506445054472
38,2020-04-08,228,233.9861896034458,265.30650765306893,202.6658715538227,282.04869445064634,185.92368475624528
39,2020-04-09,253,258.80776373687485,291.28972557249057,226.32580190125913,307.63521394828797,209.98031352546175
40,2020-04-10,268,284.7026321780798,318.12221567953287,251.28304867662672,334.15878054072755,235.24648381543207
41,2020-04-11,284,311.5029809850264,345.616262684936,277.3896992851168,361.4305088408597,261.5754531291931
42,2020-04-12,299,339.0219079406488,373.57162399829406,304.4721918830036,389.24864314334275,288.7951727379549
43,2020-04-13,309,355.68656870249185,390.0014530560595,321.3716843489242,405.7520591890171,305.62107821596663
44,2020-04-14,324,372.5826159920031,406.54791955543817,338.6173124285681,422.4091540577159,322.75607792629035
45,2020-04-15,340,389.6733666777151,423.1751823613684,356.17155099406176,439.1851198637931,340.16161349163707
46,2020-04-16,360,406.9211719294479,439.847362570881,373.9949812880148,456.04526051756955,357.79708334132624
47,2020-04-17,383,424.2877278619839,456.52881329974895,392.0466424242189,472.9552698141197,375.62018590984815
48,2020-04-18,397,441.7343867088392,473.1843761580085,410.28439725966996,489.8814934319901,393.5872799856883
49,2020-04-19,413,459.2224630938109,489.77962101400647,428.66530517361537,506.79117076615995,411.6537554214619
50,2020-04-20,447,474.394989548474,503.9555699035733,444.83440919337465,521.3297310561026,427.4602480408454
51,2020-04-21,465,489.6847390291903,518.175510123369,461.19396793501164,535.9531525204536,443.41632553792704
52,2020-04-22,483,505.0742462543619,532.4250667340108,477.7234257747131,550.6495622748528,459.49893023387114
