Index,fitting_points_logitiska,totalAdmissions_logistiska,fitting_points_logitiska_mobilitet,totalAdmissions_logistiska_mobilitet,fitting_points_logitiska_tak,totalAdmissions_logistiska_tak,fitting_points_logitiska_mobilitet_tak,totalAdmissions_logistiska_mobilitet_tak,fitting_points_SIR_daily,totalAdmissions_SIR_daily,fitting_points_SIR_weekly,totalAdmissions_SIR_weekly
66,87,1047.260259,87,1079.422588,87,1440.075422,87,1426.247899,87,2536.130923,,
67,88,1054.993228,88,1089.456899,88,1439.650619,88,1425.558457,88,2512.816038,,
68,89,1063.219569,89,1100.365682,89,1439.243182,89,1424.917526,89,2441.089876,,
69,90,1072.224827,90,1112.717733,90,1438.864571,90,1424.359953,90,2371.670066,,
70,91,1082.254894,91,1127.071025,91,1438.525694,91,1423.914713,91,2460.975102,,
71,92,1091.279486,92,1139.338939,92,1438.168771,92,1423.371675,92,2460.618544,,
72,93,1100.985696,93,1152.931498,93,1437.84406,93,1422.9279,93,2214.117962,,
73,94,1111.461512,94,1168.099667,94,1437.556795,94,1422.594298,94,2192.718781,,
74,95,1121.288677,95,1181.754249,95,1437.265242,95,1422.227954,95,1508.910552,,
75,96,1130.978163,96,1194.979054,96,1436.984876,96,1421.880528,96,2218.494349,,
76,97,1140.406549,97,1207.464476,97,1436.712271,97,1421.540305,97,2250.373511,,
77,98,1149.187085,98,1218.308023,98,1436.435349,98,1421.169513,98,2227.926763,,
78,99,1157.667188,99,1228.328744,99,1436.164444,99,1420.801455,99,1951.155686,,
79,100,1166.413788,100,1239.015497,100,1435.917692,100,1420.520978,100,2090.652155,,
80,101,1175.406819,101,1250.320152,101,1435.695356,101,1420.329893,101,2021.776063,,
81,102,1184.118646,102,1261.088698,102,1435.481275,102,1420.176014,102,1952.410471,,
82,103,1193.077227,103,1272.53656,103,1435.292243,103,1420.114593,103,1961.676027,,
83,104,1202.750167,104,1285.727924,104,1435.143662,104,1420.196734,104,1804.813068,,
84,105,1211.885268,105,1297.9073,105,1434.996596,105,1420.288334,105,1858.601986,,
85,106,1220.762421,106,1309.742902,106,1434.859473,106,1420.417027,106,1812.883043,,
86,107,1229.637967,107,1321.495962,107,1434.739945,107,1420.497192,107,1797.449748,,
87,108,1238.851672,108,1333.843243,108,1434.648353,108,1420.574465,108,1803.597055,,
88,109,1248.377138,109,1346.541525,109,1434.583802,109,1420.653089,109,1747.024502,,
89,110,1257.864648,110,1358.374922,110,1434.535564,110,1420.711945,110,1727.101751,,
90,111,1266.998957,111,1368.175767,111,1434.493928,111,1420.737455,111,1666.629497,,
91,112,1276.331157,112,1377.519667,112,1434.474377,112,1420.771207,112,1682.146157,,
92,113,1285.639984,113,1385.742539,113,1434.470115,113,1420.802577,113,1614.420727,,
93,114,1294.016559,114,1391.31876,114,1434.455352,114,1420.81445,114,1561.086418,,
94,115,1302.229146,115,1396.676297,115,1434.450599,115,1420.844716,115,1568.523075,,
95,116,1310.584728,116,1402.567582,116,1434.463505,116,1420.907964,116,1546.545129,,
96,117,1318.684603,117,1408.025994,117,1434.483132,117,1420.983749,117,1553.035217,,
97,118,1326.558156,118,1413.161725,118,1434.509435,118,1421.072092,118,1503.016422,,
98,119,1333.763252,119,1417.144571,119,1434.53073,119,1421.150451,119,1485.700806,,
99,120,1340.891463,120,1421.25392,120,1434.561249,120,1421.253264,120,1479.518951,,
100,121,1347.776729,121,1424.932407,121,1434.596309,121,1424.932478,121,1474.108782,,
101,122,1355.036422,122,1429.339459,122,1434.650191,122,1429.338745,122,1467.624465,,
102,123,1362.054885,123,1433.31682,123,1434.707719,123,1433.317715,123,1417.734758,,
103,124,1368.933856,124,1437.084277,124,1434.770667,124,1437.085201,124,1429.072488,,
104,125,1375.605548,125,1440.546029,125,1434.836922,125,1440.545968,125,1443.96898,,
105,126,1381.850152,126,1443.384178,126,1434.901183,126,1443.38441,126,1376.702311,,
106,127,1387.705164,127,1445.718771,127,1434.96378,127,1445.718886,127,1372.719179,,
107,128,1393.501358,128,1448.630009,128,1435.031258,128,1448.629989,128,1417.253578,,
108,129,1398.953257,129,1451.614662,129,1435.097235,129,1451.614483,129,1360.051767,,
109,130,1404.162184,130,1454.77701,130,1435.16335,130,1454.776616,130,1365.944846,,
110,131,1409.150113,131,1458.107481,131,1435.229629,131,1458.107635,131,1377.5498,,
,,,,,,,,,132,1330.252484,,
,,,,,,,,,133,1323.327942,,
,,,,,,,,,134,1304.391746,,
,,,,,,,,,135,1313.623751,,
,,,,,,,,,136,1276.15258,,
,,,,,,,,,137,1292.852179,,
,,,,,,,,,138,1285.331925,,
,,,,,,,,,139,1319.301439,,
,,,,,,,,,140,1284.486407,,
,,,,,,,,,141,1253.760208,,
,,,,,,,,,142,1244.760615,,
,,,,,,,,,143,1270.029073,,
,,,,,,,,,144,1287.848126,,
,,,,,,,,,145,1255.078302,,
,,,,,,,,,146,1238.271998,,
,,,,,,,,,147,1269.59464,,
,,,,,,,,,148,1211.971916,,
,,,,,,,,,149,1245.076555,,
