Idex,Fitting points,MAPE
0,6,35.78754121
1,7,26.79154467
2,8,21.59378873
3,9,5.304092289
4,10,7.997853775
5,11,10.61349095
6,12,13.0269214
7,13,13.52324676
8,14,8.418629233
9,15,5.008093306
10,16,6.091610757
11,17,6.515225229
12,18,6.800465494
13,19,2.313488242
14,20,9.984067954
