Index,Fitting_points_logistiska,ISalpha_logistiska,Fitting_points_logistiska_mobilitet,ISalpha_logistiska_mobilitet,Fitting_points_logistiska_tak,ISalpha_logistiska_tak,Fitting_points_logistiska_mobilitet_tak,ISalpha_logistiska_mobilitet_tak,Fitting_points_SIR_daily,ISalpha_SIR_daily,Fitting_points_SIR_weekly,ISalpha_SIR_weekly
66,87,4773.558632,87,3865.699558,87,220.2940446,87,209.1460179,87,11672.79894,,
67,88,4855.999694,88,3892.464259,88,191.5615448,88,203.22722,88,8795.587237,,
68,89,4912.269034,89,3883.415703,89,188.9369195,89,197.3590339,89,14678.90229,,
69,90,4918.859633,90,3806.169675,90,188.71487,90,191.2083021,90,10156.00317,,
70,91,4869.567086,91,3645.418691,91,187.9953906,91,184.5940772,91,9289.588154,,
71,92,4885.227319,92,3591.262666,92,187.6712553,92,179.0703494,92,9365.062891,,
72,93,4844.046571,93,3461.034565,93,187.003642,93,173.3394083,93,8047.727206,,
73,94,4753.502711,94,3257.904672,94,185.9889787,94,167.4352764,94,26971.64229,,
74,95,4706.864682,95,3128.309438,95,185.1714059,95,162.2314503,95,33285.975,,
75,96,4663.789703,96,3011.982435,96,184.3511807,96,157.3578155,96,22587.25527,,
76,97,4631.398874,97,2933.148853,97,183.5689761,97,152.8483323,97,8360.87947,,
77,98,4623.245397,98,2896.424034,98,182.9650578,98,148.9180538,98,21519.4733,,
78,99,4629.670392,99,2879.856452,99,182.4061157,99,145.3001287,99,22273.13831,,
79,100,4612.581533,100,2820.348534,100,181.677902,100,141.7425089,100,29857.44236,,
80,101,4586.258541,101,2739.834286,101,180.7979625,101,138.2690736,101,16724.25373,,
81,102,4569.967088,102,2658.970046,102,179.9443933,102,135.059956,102,13551.6712,,
82,103,4532.757523,103,2537.219982,103,178.9496546,103,131.9455229,103,6994.584713,,
83,104,4442.595984,104,2319.656858,104,177.7077137,104,129.0223418,104,9744.464212,,
84,105,4373.592979,105,2131.7501,105,176.5504089,105,126.2886062,105,27903.50478,,
85,106,4307.626893,106,1941.017737,106,175.4060505,106,123.7434884,106,13311.03472,,
86,107,4236.049994,107,1754.758087,107,174.2162172,107,120.6951085,107,9348.550086,,
87,108,4129.186193,108,1552.184712,108,172.9247413,108,117.3062647,108,7325.469785,,
88,109,3990.231741,109,1347.816421,109,171.5666619,109,119.4058773,109,19024.28342,,
89,110,3842.010082,110,1192.126682,110,170.2080017,110,139.6708891,110,19103.21458,,
90,111,3707.244757,111,1091.815151,111,168.8854649,111,182.198314,111,9897.782891,,
91,112,3537.912163,112,999.4930734,112,167.5619841,112,234.8511703,112,22638.05506,,
92,113,3358.124661,113,947.1002245,113,166.2700156,113,305.0167382,113,9299.784119,,
93,114,3228.519953,114,955.1055461,114,165.0339936,114,381.6138795,114,12147.01071,,
94,115,3098.222253,115,956.9702824,115,163.8303112,115,461.9025422,115,18294.55438,,
95,116,2944.913411,116,926.2944479,116,162.6710342,116,541.7530606,116,12945.48941,,
96,117,2795.223413,117,898.6628549,117,161.5607857,117,621.8395385,117,12096.57528,,
97,118,2645.829283,118,868.6261624,118,160.5042185,118,699.9745805,118,13332.0695,,
98,119,2523.253063,119,860.8013707,119,159.4701974,119,774.9807056,119,14128.83704,,
99,120,2389.709349,120,845.2835917,120,158.5003092,120,845.2986267,120,31299.97583,,
100,121,2258.819637,121,830.9480659,121,157.5856129,121,830.9463226,121,13247.38202,,
101,122,2087.598112,122,788.2542986,122,156.8326095,122,788.2719791,122,9206.287324,,
102,123,1919.125105,123,750.109373,123,156.1572657,123,750.0871022,123,22934.25108,,
103,124,1750.351781,124,716.4224609,124,155.587438,124,716.397844,124,23421.41551,,
104,125,1580.772062,125,680.7206941,125,155.1117197,125,680.7223443,125,9735.956393,,
105,126,1426.776724,126,659.5447271,126,154.6658985,126,659.5380525,126,5416.553296,,
106,127,1284.610089,127,645.4259025,127,154.2529483,127,645.4224082,127,15268.31366,,
107,128,1130.61154,128,598.0002628,128,153.9762916,128,598.000891,128,31999.19856,,
108,129,993.9907746,129,545.4978544,129,155.8192597,129,545.5037381,129,27259.042,,
109,130,867.1520906,130,474.2982264,130,161.9872859,130,474.3119253,130,12435.92682,,
110,131,750.3793902,131,380.0351718,131,168.532078,131,380.0300255,131,28065.91437,,
